COST,COLUMN1,COLUMN2,COLUMN3,COLUMN4
1.06164111E10,,M/S 3/7->C,,M/S 2/7->A,B,,M/S 4/7->D,
1.03571139E10,,M/S 3/7->C,,M/S 5/7->D,,M/S 2/7->A,B,
1.14365809E10,,M/S 3/7->C,,M/S 2/7->A,B,,M/S 6/7->D,
1.153408E10,,M/S 3/7->C,,M/S 2/7->A,B,,M/S 7/7->D,
1.05054566E10,,M/S 2/7->A,B,,M/S 4/7->C,,M/S 1/7->D,
1.06052526E10,,M/S 3/7->D,,M/S 2/7->A,B,,M/S 4/7->C,
9.9888323E9,,M/S 2/7->A,B,,M/S 4/7->C,D,
1.01970749E10,,M/S 5/7->D,,M/S 2/7->A,B,,M/S 4/7->C,
1.12765409E10,,M/S 2/7->A,B,,M/S 4/7->C,,M/S 6/7->D,
1.13740401E10,,M/S 2/7->A,B,,M/S 7/7->D,,M/S 4/7->C,
1.03359939E10,,M/S 5/7->C,,M/S 2/7->A,B,,M/S 1/7->D,
1.04357898E10,,M/S 3/7->D,,M/S 5/7->C,,M/S 2/7->A,B,
1.02869084E10,,M/S 5/7->C,,M/S 2/7->A,B,,M/S 4/7->D,
1.00276122E10,,M/S 5/7->C,D,,M/S 2/7->A,B,
1.11070781E10,,M/S 5/7->C,,M/S 2/7->A,B,,M/S 6/7->D,
1.12045773E10,,M/S 5/7->C,,M/S 2/7->A,B,,M/S 7/7->D,
1.13451674E10,,M/S 2/7->A,B,,M/S 1/7->D,,M/S 6/7->C,
1.14449633E10,,M/S 3/7->D,,M/S 2/7->A,B,,M/S 6/7->C,
1.12960819E10,,M/S 2/7->A,B,,M/S 4/7->D,,M/S 6/7->C,
1.10367846E10,,M/S 5/7->D,,M/S 2/7->A,B,,M/S 6/7->C,
1.21162516E10,,M/S 2/7->A,B,,M/S 6/7->C,D,
