COST,COLUMN1,COLUMN2,COLUMN3,COLUMN4
1.17066547E10,,M/S 2/7->B,,M/S 7/7->D,,M/S 1/7->C,,M/S 6/7->A,
1.13402501E10,,M/S 2/7->B,C,,M/S 1/7->D,,M/S 6/7->A,
1.14400461E10,,M/S 3/7->D,,M/S 2/7->B,C,,M/S 6/7->A,
1.12911647E10,,M/S 2/7->B,C,,M/S 4/7->D,,M/S 6/7->A,
1.10318674E10,,M/S 5/7->D,,M/S 2/7->B,C,,M/S 6/7->A,
1.21113344E10,,M/S 2/7->B,C,,M/S 6/7->A,D,
1.22088325E10,,M/S 2/7->B,C,,M/S 7/7->D,,M/S 6/7->A,
1.0958634E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 1/7->D,,M/S 6/7->A,
1.13724303E10,,M/S 3/7->C,,M/S 2/7->B,D,,M/S 6/7->A,
1.09876347E10,,M/S 3/7->C,D,,M/S 2/7->B,,M/S 6/7->A,
1.09095485E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 4/7->D,,M/S 6/7->A,
1.06502513E10,,M/S 3/7->C,,M/S 5/7->D,,M/S 2/7->B,,M/S 6/7->A,
1.17297172E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 6/7->A,D,
1.18272164E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 7/7->D,,M/S 6/7->A,
1.0798594E10,,M/S 2/7->B,,M/S 4/7->C,,M/S 1/7->D,,M/S 6/7->A,
1.12123904E10,,M/S 2/7->B,D,,M/S 4/7->C,,M/S 6/7->A,
1.089839E10,,M/S 3/7->D,,M/S 2/7->B,,M/S 4/7->C,,M/S 6/7->A,
1.02819697E10,,M/S 2/7->B,,M/S 4/7->C,D,,M/S 6/7->A,
1.04902124E10,,M/S 5/7->D,,M/S 2/7->B,,M/S 4/7->C,,M/S 6/7->A,
1.15696783E10,,M/S 2/7->B,,M/S 4/7->C,,M/S 6/7->A,D,
1.16671775E10,,M/S 2/7->B,,M/S 7/7->D,,M/S 4/7->C,,M/S 6/7->A,
1.06291313E10,,M/S 5/7->C,,M/S 2/7->B,,M/S 1/7->D,,M/S 6/7->A,
1.10429266E10,,M/S 5/7->C,,M/S 2/7->B,D,,M/S 6/7->A,
1.07289272E10,,M/S 3/7->D,,M/S 5/7->C,,M/S 2/7->B,,M/S 6/7->A,
1.05800458E10,,M/S 5/7->C,,M/S 2/7->B,,M/S 4/7->D,,M/S 6/7->A,
1.03207485E10,,M/S 5/7->C,D,,M/S 2/7->B,,M/S 6/7->A,
1.14002145E10,,M/S 5/7->C,,M/S 2/7->B,,M/S 6/7->A,D,
1.14977137E10,,M/S 5/7->C,,M/S 2/7->B,,M/S 7/7->D,,M/S 6/7->A,
1.16383048E10,,M/S 2/7->B,,M/S 1/7->D,,M/S 6/7->A,C,
1.20521011E10,,M/S 2/7->B,D,,M/S 6/7->A,C,
1.17381007E10,,M/S 3/7->D,,M/S 2/7->B,,M/S 6/7->A,C,
1.15892193E10,,M/S 2/7->B,,M/S 4/7->D,,M/S 6/7->A,C,
1.1329922E10,,M/S 5/7->D,,M/S 2/7->B,,M/S 6/7->A,C,
1.25068882E10,,M/S 2/7->B,,M/S 7/7->D,,M/S 6/7->A,C,
1.0079232E10,,M/S 3/7->B,,M/S 1/7->C,D,,M/S 6/7->A,
1.07311811E10,,M/S 3/7->B,,M/S 2/7->D,,M/S 1/7->C,,M/S 6/7->A,
1.0245036E10,,M/S 3/7->B,D,,M/S 1/7->C,,M/S 6/7->A,
1.01201336E10,,M/S 3/7->B,,M/S 4/7->D,,M/S 1/7->C,,M/S 6/7->A,
9.8608364E9,,M/S 3/7->B,,M/S 5/7->D,,M/S 1/7->C,,M/S 6/7->A,
1.09403023E10,,M/S 3/7->B,,M/S 1/7->C,,M/S 6/7->A,D,
1.10378015E10,,M/S 3/7->B,,M/S 7/7->D,,M/S 1/7->C,,M/S 6/7->A,
1.08192809E10,,M/S 3/7->B,,M/S 2/7->C,,M/S 1/7->D,,M/S 6/7->A,
1.11527895E10,,M/S 3/7->B,,M/S 2/7->C,D,,M/S 6/7->A,
1.08950979E10,,M/S 3/7->B,D,,M/S 2/7->C,,M/S 6/7->A,
1.07701955E10,,M/S 3/7->B,,M/S 2/7->C,,M/S 4/7->D,,M/S 6/7->A,
1.05108982E10,,M/S 3/7->B,,M/S 5/7->D,,M/S 2/7->C,,M/S 6/7->A,
1.15903642E10,,M/S 3/7->B,,M/S 2/7->C,,M/S 6/7->A,D,
1.16878643E10,,M/S 3/7->B,,M/S 2/7->C,,M/S 7/7->D,,M/S 6/7->A,
1.02426112E10,,M/S 3/7->B,C,,M/S 1/7->D,,M/S 6/7->A,
1.08045742E10,,M/S 3/7->B,C,,M/S 2/7->D,,M/S 6/7->A,
1.01935258E10,,M/S 3/7->B,C,,M/S 4/7->D,,M/S 6/7->A,
9.9342285E9,,M/S 3/7->B,C,,M/S 5/7->D,,M/S 6/7->A,
1.10136955E10,,M/S 3/7->B,C,,M/S 6/7->A,D,
1.11111946E10,,M/S 3/7->B,C,,M/S 7/7->D,,M/S 6/7->A,
1.01297408E10,,M/S 3/7->B,,M/S 4/7->C,,M/S 1/7->D,,M/S 6/7->A,
1.06917038E10,,M/S 3/7->B,,M/S 2/7->D,,M/S 4/7->C,,M/S 6/7->A,
1.02055588E10,,M/S 3/7->B,D,,M/S 4/7->C,,M/S 6/7->A,
9.6131164E9,,M/S 3/7->B,,M/S 4/7->C,D,,M/S 6/7->A,
9.8213591E9,,M/S 3/7->B,,M/S 5/7->D,,M/S 4/7->C,,M/S 6/7->A,
1.09008251E10,,M/S 3/7->B,,M/S 4/7->C,,M/S 6/7->A,D,
1.09983242E10,,M/S 3/7->B,,M/S 7/7->D,,M/S 4/7->C,,M/S 6/7->A,
9.960278E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 1/7->D,,M/S 6/7->A,
1.0522241E10,,M/S 3/7->B,,M/S 5/7->C,,M/S 2/7->D,,M/S 6/7->A,
1.0036095E10,,M/S 3/7->B,D,,M/S 5/7->C,,M/S 6/7->A,
9.9111926E9,,M/S 3/7->B,,M/S 5/7->C,,M/S 4/7->D,,M/S 6/7->A,
9.6518963E9,,M/S 3/7->B,,M/S 5/7->C,D,,M/S 6/7->A,
1.07313623E10,,M/S 3/7->B,,M/S 5/7->C,,M/S 6/7->A,D,
1.08288614E10,,M/S 3/7->B,,M/S 5/7->C,,M/S 7/7->D,,M/S 6/7->A,
1.09694515E10,,M/S 3/7->B,,M/S 1/7->D,,M/S 6/7->A,C,
1.15314135E10,,M/S 3/7->B,,M/S 2/7->D,,M/S 6/7->A,C,
1.10452695E10,,M/S 3/7->B,D,,M/S 6/7->A,C,
1.09203661E10,,M/S 3/7->B,,M/S 4/7->D,,M/S 6/7->A,C,
1.06610688E10,,M/S 3/7->B,,M/S 5/7->D,,M/S 6/7->A,C,
1.18380339E10,,M/S 3/7->B,,M/S 7/7->D,,M/S 6/7->A,C,
9.9072881E9,,M/S 4/7->B,,M/S 1/7->C,D,,M/S 6/7->A,
1.05592381E10,,M/S 2/7->D,,M/S 4/7->B,,M/S 1/7->C,,M/S 6/7->A,
1.00970711E10,,M/S 3/7->D,,M/S 4/7->B,,M/S 1/7->C,,M/S 6/7->A,
9.547692E9,,M/S 4/7->B,D,,M/S 1/7->C,,M/S 6/7->A,
9.6888924E9,,M/S 5/7->D,,M/S 4/7->B,,M/S 1/7->C,,M/S 6/7->A,
1.07683594E10,,M/S 4/7->B,,M/S 1/7->C,,M/S 6/7->A,D,
1.08658586E10,,M/S 7/7->D,,M/S 4/7->B,,M/S 1/7->C,,M/S 6/7->A,
1.0647337E10,,M/S 2/7->C,,M/S 4/7->B,,M/S 1/7->D,,M/S 6/7->A,
1.09808456E10,,M/S 2/7->C,D,,M/S 4/7->B,,M/S 6/7->A,
1.07471329E10,,M/S 3/7->D,,M/S 2/7->C,,M/S 4/7->B,,M/S 6/7->A,
1.01977539E10,,M/S 2/7->C,,M/S 4/7->B,D,,M/S 6/7->A,
1.03389542E10,,M/S 5/7->D,,M/S 2/7->C,,M/S 4/7->B,,M/S 6/7->A,
1.14184212E10,,M/S 2/7->C,,M/S 4/7->B,,M/S 6/7->A,D,
1.15159204E10,,M/S 2/7->C,,M/S 7/7->D,,M/S 4/7->B,,M/S 6/7->A,
1.01178378E10,,M/S 3/7->C,,M/S 4/7->B,,M/S 1/7->D,,M/S 6/7->A,
1.06797998E10,,M/S 3/7->C,,M/S 2/7->D,,M/S 4/7->B,,M/S 6/7->A,
1.01468385E10,,M/S 3/7->C,D,,M/S 4/7->B,,M/S 6/7->A,
9.6682547E9,,M/S 3/7->C,,M/S 4/7->B,D,,M/S 6/7->A,
9.8094551E9,,M/S 3/7->C,,M/S 5/7->D,,M/S 4/7->B,,M/S 6/7->A,
1.08889211E10,,M/S 3/7->C,,M/S 4/7->B,,M/S 6/7->A,D,
1.09864202E10,,M/S 3/7->C,,M/S 7/7->D,,M/S 4/7->B,,M/S 6/7->A,
9.5429786E9,,M/S 4/7->B,C,,M/S 1/7->D,,M/S 6/7->A,
1.01049405E10,,M/S 2/7->D,,M/S 4/7->B,C,,M/S 6/7->A,
9.6427745E9,,M/S 3/7->D,,M/S 4/7->B,C,,M/S 6/7->A,
9.2345958E9,,M/S 5/7->D,,M/S 4/7->B,C,,M/S 6/7->A,
1.03140618E10,,M/S 4/7->B,C,,M/S 6/7->A,D,
1.0411561E10,,M/S 7/7->D,,M/S 4/7->B,C,,M/S 6/7->A,
9.7883341E9,,M/S 5/7->C,,M/S 4/7->B,,M/S 1/7->D,,M/S 6/7->A,
1.03502971E10,,M/S 5/7->C,,M/S 2/7->D,,M/S 4/7->B,,M/S 6/7->A,
9.88813E9,,M/S 3/7->D,,M/S 5/7->C,,M/S 4/7->B,,M/S 6/7->A,
9.338752E9,,M/S 5/7->C,,M/S 4/7->B,D,,M/S 6/7->A,
9.4799524E9,,M/S 5/7->C,D,,M/S 4/7->B,,M/S 6/7->A,
1.05594184E10,,M/S 5/7->C,,M/S 4/7->B,,M/S 6/7->A,D,
1.06569175E10,,M/S 5/7->C,,M/S 7/7->D,,M/S 4/7->B,,M/S 6/7->A,
1.07975086E10,,M/S 4/7->B,,M/S 1/7->D,,M/S 6/7->A,C,
1.13594716E10,,M/S 2/7->D,,M/S 4/7->B,,M/S 6/7->A,C,
1.08973046E10,,M/S 3/7->D,,M/S 4/7->B,,M/S 6/7->A,C,
1.03479255E10,,M/S 4/7->B,D,,M/S 6/7->A,C,
1.04891259E10,,M/S 5/7->D,,M/S 4/7->B,,M/S 6/7->A,C,
1.1666092E10,,M/S 7/7->D,,M/S 4/7->B,,M/S 6/7->A,C,
9.780823E9,,M/S 5/7->B,,M/S 1/7->C,D,,M/S 6/7->A,
1.04327721E10,,M/S 5/7->B,,M/S 2/7->D,,M/S 1/7->C,,M/S 6/7->A,
9.9706051E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 1/7->C,,M/S 6/7->A,
9.8217247E9,,M/S 5/7->B,,M/S 4/7->D,,M/S 1/7->C,,M/S 6/7->A,
9.5624274E9,,M/S 5/7->B,D,,M/S 1/7->C,,M/S 6/7->A,
1.06418934E10,,M/S 5/7->B,,M/S 1/7->C,,M/S 6/7->A,D,
1.07393925E10,,M/S 5/7->B,,M/S 7/7->D,,M/S 1/7->C,,M/S 6/7->A,
1.05208719E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 1/7->D,,M/S 6/7->A,
1.08543795E10,,M/S 5/7->B,,M/S 2/7->C,D,,M/S 6/7->A,
1.06206679E10,,M/S 3/7->D,,M/S 5/7->B,,M/S 2/7->C,,M/S 6/7->A,
1.04717865E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 4/7->D,,M/S 6/7->A,
1.02124892E10,,M/S 5/7->B,D,,M/S 2/7->C,,M/S 6/7->A,
1.12919552E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 6/7->A,D,
1.13894543E10,,M/S 5/7->B,,M/S 2/7->C,,M/S 7/7->D,,M/S 6/7->A,
9.9913718E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 1/7->D,,M/S 6/7->A,
1.05533338E10,,M/S 3/7->C,,M/S 5/7->B,,M/S 2/7->D,,M/S 6/7->A,
1.00203725E10,,M/S 3/7->C,D,,M/S 5/7->B,,M/S 6/7->A,
9.9422863E9,,M/S 3/7->C,,M/S 5/7->B,,M/S 4/7->D,,M/S 6/7->A,
9.6829901E9,,M/S 3/7->C,,M/S 5/7->B,D,,M/S 6/7->A,
1.07624561E10,,M/S 3/7->C,,M/S 5/7->B,,M/S 6/7->A,D,
1.08599542E10,,M/S 3/7->C,,M/S 5/7->B,,M/S 7/7->D,,M/S 6/7->A,
9.8313318E9,,M/S 5/7->B,,M/S 4/7->C,,M/S 1/7->D,,M/S 6/7->A,
1.03932948E10,,M/S 5/7->B,,M/S 2/7->D,,M/S 4/7->C,,M/S 6/7->A,
9.9311278E9,,M/S 3/7->D,,M/S 5/7->B,,M/S 4/7->C,,M/S 6/7->A,
9.3147075E9,,M/S 5/7->B,,M/S 4/7->C,D,,M/S 6/7->A,
9.5229501E9,,M/S 5/7->B,D,,M/S 4/7->C,,M/S 6/7->A,
1.06024161E10,,M/S 5/7->B,,M/S 4/7->C,,M/S 6/7->A,D,
1.06999153E10,,M/S 5/7->B,,M/S 7/7->D,,M/S 4/7->C,,M/S 6/7->A,
9.6618691E9,,M/S 5/7->B,C,,M/S 1/7->D,,M/S 6/7->A,
1.0223831E10,,M/S 5/7->B,C,,M/S 2/7->D,,M/S 6/7->A,
9.761665E9,,M/S 3/7->D,,M/S 5/7->B,C,,M/S 6/7->A,
9.6127836E9,,M/S 5/7->B,C,,M/S 4/7->D,,M/S 6/7->A,
1.04329533E10,,M/S 5/7->B,C,,M/S 6/7->A,D,
1.05304515E10,,M/S 5/7->B,C,,M/S 7/7->D,,M/S 6/7->A,
1.06710426E10,,M/S 5/7->B,,M/S 1/7->D,,M/S 6/7->A,C,
1.12330056E10,,M/S 5/7->B,,M/S 2/7->D,,M/S 6/7->A,C,
1.07708385E10,,M/S 3/7->D,,M/S 5/7->B,,M/S 6/7->A,C,
1.06219581E10,,M/S 5/7->B,,M/S 4/7->D,,M/S 6/7->A,C,
1.03626609E10,,M/S 5/7->B,D,,M/S 6/7->A,C,
1.1539626E10,,M/S 5/7->B,,M/S 7/7->D,,M/S 6/7->A,C,
1.03460065E10,,M/S 1/7->C,D,,M/S 6/7->A,B,
1.09979566E10,,M/S 2/7->D,,M/S 1/7->C,,M/S 6/7->A,B,
1.05357896E10,,M/S 3/7->D,,M/S 1/7->C,,M/S 6/7->A,B,
1.03869082E10,,M/S 4/7->D,,M/S 1/7->C,,M/S 6/7->A,B,
1.01276109E10,,M/S 5/7->D,,M/S 1/7->C,,M/S 6/7->A,B,
1.1304577E10,,M/S 7/7->D,,M/S 1/7->C,,M/S 6/7->A,B,
1.10860554E10,,M/S 2/7->C,,M/S 1/7->D,,M/S 6/7->A,B,
1.1419564E10,,M/S 2/7->C,D,,M/S 6/7->A,B,
1.11858514E10,,M/S 3/7->D,,M/S 2/7->C,,M/S 6/7->A,B,
1.103697E10,,M/S 2/7->C,,M/S 4/7->D,,M/S 6/7->A,B,
1.07776727E10,,M/S 5/7->D,,M/S 2/7->C,,M/S 6/7->A,B,
1.19546388E10,,M/S 2/7->C,,M/S 7/7->D,,M/S 6/7->A,B,
1.05565563E10,,M/S 3/7->C,,M/S 1/7->D,,M/S 6/7->A,B,
1.11185183E10,,M/S 3/7->C,,M/S 2/7->D,,M/S 6/7->A,B,
1.0585557E10,,M/S 3/7->C,D,,M/S 6/7->A,B,
1.05074708E10,,M/S 3/7->C,,M/S 4/7->D,,M/S 6/7->A,B,
1.02481736E10,,M/S 3/7->C,,M/S 5/7->D,,M/S 6/7->A,B,
1.14251387E10,,M/S 3/7->C,,M/S 7/7->D,,M/S 6/7->A,B,
1.03965164E10,,M/S 4/7->C,,M/S 1/7->D,,M/S 6/7->A,B,
1.09584794E10,,M/S 2/7->D,,M/S 4/7->C,,M/S 6/7->A,B,
1.04963123E10,,M/S 3/7->D,,M/S 4/7->C,,M/S 6/7->A,B,
9.879892E9,,M/S 4/7->C,D,,M/S 6/7->A,B,
1.00881336E10,,M/S 5/7->D,,M/S 4/7->C,,M/S 6/7->A,B,
1.12650998E10,,M/S 7/7->D,,M/S 4/7->C,,M/S 6/7->A,B,
1.02270525E10,,M/S 5/7->C,,M/S 1/7->D,,M/S 6/7->A,B,
1.07890156E10,,M/S 5/7->C,,M/S 2/7->D,,M/S 6/7->A,B,
1.03268485E10,,M/S 3/7->D,,M/S 5/7->C,,M/S 6/7->A,B,
1.01779681E10,,M/S 5/7->C,,M/S 4/7->D,,M/S 6/7->A,B,
9.9186708E9,,M/S 5/7->C,D,,M/S 6/7->A,B,
1.1095636E10,,M/S 5/7->C,,M/S 7/7->D,,M/S 6/7->A,B,
1.07224678E10,,M/S 2/7->D,,M/S 7/7->A,,M/S 1/7->B,C,
1.02603018E10,,M/S 3/7->D,,M/S 7/7->A,,M/S 1/7->B,C,
1.01114204E10,,M/S 7/7->A,,M/S 4/7->D,,M/S 1/7->B,C,
9.8521231E9,,M/S 5/7->D,,M/S 7/7->A,,M/S 1/7->B,C,
1.09315891E10,,M/S 7/7->A,,M/S 1/7->B,C,,M/S 6/7->D,
1.10290883E10,,M/S 7/7->A,D,,M/S 1/7->B,C,
1.08313242E10,,M/S 2/7->C,,M/S 7/7->A,,M/S 1/7->B,D,
1.12330691E10,,M/S 2/7->C,D,,M/S 7/7->A,,M/S 1/7->B,
1.09993574E10,,M/S 3/7->D,,M/S 2/7->C,,M/S 7/7->A,,M/S 1/7->B,
1.0850476E10,,M/S 2/7->C,,M/S 7/7->A,,M/S 4/7->D,,M/S 1/7->B,
1.05911788E10,,M/S 5/7->D,,M/S 2/7->C,,M/S 7/7->A,,M/S 1/7->B,
1.16706447E10,,M/S 2/7->C,,M/S 7/7->A,,M/S 1/7->B,,M/S 6/7->D,
1.17681439E10,,M/S 2/7->C,,M/S 7/7->A,D,,M/S 1/7->B,
1.0301825E10,,M/S 3/7->C,,M/S 7/7->A,,M/S 1/7->B,D,
1.09320233E10,,M/S 3/7->C,,M/S 2/7->D,,M/S 7/7->A,,M/S 1/7->B,
1.0399062E10,,M/S 3/7->C,D,,M/S 7/7->A,,M/S 1/7->B,
1.03209759E10,,M/S 3/7->C,,M/S 7/7->A,,M/S 4/7->D,,M/S 1/7->B,
1.00616786E10,,M/S 3/7->C,,M/S 5/7->D,,M/S 7/7->A,,M/S 1/7->B,
1.11411446E10,,M/S 3/7->C,,M/S 7/7->A,,M/S 1/7->B,,M/S 6/7->D,
1.12386447E10,,M/S 3/7->C,,M/S 7/7->A,D,,M/S 1/7->B,
1.01417851E10,,M/S 7/7->A,,M/S 4/7->C,,M/S 1/7->B,D,
1.07719844E10,,M/S 2/7->D,,M/S 7/7->A,,M/S 4/7->C,,M/S 1/7->B,
1.03098173E10,,M/S 3/7->D,,M/S 7/7->A,,M/S 4/7->C,,M/S 1/7->B,
9.693397E9,,M/S 7/7->A,,M/S 4/7->C,D,,M/S 1/7->B,
9.9016397E9,,M/S 5/7->D,,M/S 7/7->A,,M/S 4/7->C,,M/S 1/7->B,
1.09811057E10,,M/S 7/7->A,,M/S 4/7->C,,M/S 1/7->B,,M/S 6/7->D,
1.10786048E10,,M/S 7/7->A,D,,M/S 4/7->C,,M/S 1/7->B,
9.9723223E9,,M/S 5/7->C,,M/S 7/7->A,,M/S 1/7->B,D,
1.06025206E10,,M/S 5/7->C,,M/S 2/7->D,,M/S 7/7->A,,M/S 1/7->B,
1.01403546E10,,M/S 3/7->D,,M/S 5/7->C,,M/S 7/7->A,,M/S 1/7->B,
9.9914732E9,,M/S 5/7->C,,M/S 7/7->A,,M/S 4/7->D,,M/S 1/7->B,
9.7321759E9,,M/S 5/7->C,D,,M/S 7/7->A,,M/S 1/7->B,
1.08116419E10,,M/S 5/7->C,,M/S 7/7->A,,M/S 1/7->B,,M/S 6/7->D,
1.0909142E10,,M/S 5/7->C,,M/S 7/7->A,D,,M/S 1/7->B,
1.09814958E10,,M/S 7/7->A,,M/S 1/7->B,D,,M/S 6/7->C,
1.16116951E10,,M/S 2/7->D,,M/S 7/7->A,,M/S 1/7->B,,M/S 6/7->C,
1.11495291E10,,M/S 3/7->D,,M/S 7/7->A,,M/S 1/7->B,,M/S 6/7->C,
1.10006477E10,,M/S 7/7->A,,M/S 4/7->D,,M/S 1/7->B,,M/S 6/7->C,
1.07413504E10,,M/S 5/7->D,,M/S 7/7->A,,M/S 1/7->B,,M/S 6/7->C,
1.18208164E10,,M/S 7/7->A,,M/S 1/7->B,,M/S 6/7->C,D,
1.19183155E10,,M/S 7/7->A,D,,M/S 1/7->B,,M/S 6/7->C,
1.09751009E10,,M/S 2/7->B,,M/S 7/7->A,,M/S 1/7->C,D,
1.14788833E10,,M/S 2/7->B,D,,M/S 7/7->A,,M/S 1/7->C,
1.11648829E10,,M/S 3/7->D,,M/S 2/7->B,,M/S 7/7->A,,M/S 1/7->C,
1.10160015E10,,M/S 2/7->B,,M/S 7/7->A,,M/S 4/7->D,,M/S 1/7->C,
1.07567043E10,,M/S 5/7->D,,M/S 2/7->B,,M/S 7/7->A,,M/S 1/7->C,
1.18361702E10,,M/S 2/7->B,,M/S 7/7->A,,M/S 1/7->C,,M/S 6/7->D,
1.19336704E10,,M/S 2/7->B,,M/S 7/7->A,D,,M/S 1/7->C,
1.15672668E10,,M/S 2/7->B,C,,M/S 7/7->A,,M/S 1/7->D,
1.16670628E10,,M/S 3/7->D,,M/S 2/7->B,C,,M/S 7/7->A,
1.15181814E10,,M/S 2/7->B,C,,M/S 7/7->A,,M/S 4/7->D,
1.12588841E10,,M/S 5/7->D,,M/S 2/7->B,C,,M/S 7/7->A,
1.23383501E10,,M/S 2/7->B,C,,M/S 7/7->A,,M/S 6/7->D,
1.24358492E10,,M/S 2/7->B,C,,M/S 7/7->A,D,
1.11856497E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 7/7->A,,M/S 1/7->D,
1.1599446E10,,M/S 3/7->C,,M/S 2/7->B,D,,M/S 7/7->A,
1.12146504E10,,M/S 3/7->C,D,,M/S 2/7->B,,M/S 7/7->A,
1.11365642E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 7/7->A,,M/S 4/7->D,
1.08772669E10,,M/S 3/7->C,,M/S 5/7->D,,M/S 2/7->B,,M/S 7/7->A,
1.1956734E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 7/7->A,,M/S 6/7->D,
1.20542331E10,,M/S 3/7->C,,M/S 2/7->B,,M/S 7/7->A,D,
1.10256097E10,,M/S 2/7->B,,M/S 7/7->A,,M/S 4/7->C,,M/S 1/7->D,
1.14394061E10,,M/S 2/7->B,D,,M/S 7/7->A,,M/S 4/7->C,
1.11254057E10,,M/S 3/7->D,,M/S 2/7->B,,M/S 7/7->A,,M/S 4/7->C,
1.05089853E10,,M/S 2/7->B,,M/S 7/7->A,,M/S 4/7->C,D,
1.0717227E10,,M/S 5/7->D,,M/S 2/7->B,,M/S 7/7->A,,M/S 4/7->C,
1.1796693E10,,M/S 2/7->B,,M/S 7/7->A,,M/S 4/7->C,,M/S 6/7->D,
1.18941932E10,,M/S 2/7->B,,M/S 7/7->A,D,,M/S 4/7->C,
1.08561469E10,,M/S 5/7->C,,M/S 2/7->B,,M/S 7/7->A,,M/S 1/7->D,
1.12699433E10,,M/S 5/7->C,,M/S 2/7->B,D,,M/S 7/7->A,
1.09559429E10,,M/S 3/7->D,,M/S 5/7->C,,M/S 2/7->B,,M/S 7/7->A,
1.08070615E10,,M/S 5/7->C,,M/S 2/7->B,,M/S 7/7->A,,M/S 4/7->D,
1.05477652E10,,M/S 5/7->C,D,,M/S 2/7->B,,M/S 7/7->A,
1.16272312E10,,M/S 5/7->C,,M/S 2/7->B,,M/S 7/7->A,,M/S 6/7->D,
1.17247304E10,,M/S 5/7->C,,M/S 2/7->B,,M/S 7/7->A,D,
1.18653204E10,,M/S 2/7->B,,M/S 7/7->A,,M/S 1/7->D,,M/S 6/7->C,
1.22791168E10,,M/S 2/7->B,D,,M/S 7/7->A,,M/S 6/7->C,
1.19651164E10,,M/S 3/7->D,,M/S 2/7->B,,M/S 7/7->A,,M/S 6/7->C,
1.1816235E10,,M/S 2/7->B,,M/S 7/7->A,,M/S 4/7->D,,M/S 6/7->C,
1.15569377E10,,M/S 5/7->D,,M/S 2/7->B,,M/S 7/7->A,,M/S 6/7->C,
1.26364047E10,,M/S 2/7->B,,M/S 7/7->A,,M/S 6/7->C,D,
1.27339039E10,,M/S 2/7->B,,M/S 7/7->A,D,,M/S 6/7->C,
1.03062477E10,,M/S 3/7->B,,M/S 7/7->A,,M/S 1/7->C,D,
1.09581967E10,,M/S 3/7->B,,M/S 2/7->D,,M/S 7/7->A,,M/S 1/7->C,
1.04720507E10,,M/S 3/7->B,D,,M/S 7/7->A,,M/S 1/7->C,
1.03471493E10,,M/S 3/7->B,,M/S 7/7->A,,M/S 4/7->D,,M/S 1/7->C,
1.0087852E10,,M/S 3/7->B,,M/S 5/7->D,,M/S 7/7->A,,M/S 1/7->C,
1.1167318E10,,M/S 3/7->B,,M/S 7/7->A,,M/S 1/7->C,,M/S 6/7->D,
1.12648172E10,,M/S 3/7->B,,M/S 7/7->A,D,,M/S 1/7->C,
1.10462966E10,,M/S 3/7->B,,M/S 2/7->C,,M/S 7/7->A,,M/S 1/7->D,
1.13798042E10,,M/S 3/7->B,,M/S 2/7->C,D,,M/S 7/7->A,
1.11221125E10,,M/S 3/7->B,D,,M/S 2/7->C,,M/S 7/7->A,
1.09972111E10,,M/S 3/7->B,,M/S 2/7->C,,M/S 7/7->A,,M/S 4/7->D,
1.07379139E10,,M/S 3/7->B,,M/S 5/7->D,,M/S 2/7->C,,M/S 7/7->A,
1.18173798E10,,M/S 3/7->B,,M/S 2/7->C,,M/S 7/7->A,,M/S 6/7->D,
1.1914879E10,,M/S 3/7->B,,M/S 2/7->C,,M/S 7/7->A,D,
1.04696269E10,,M/S 3/7->B,C,,M/S 7/7->A,,M/S 1/7->D,
1.10315889E10,,M/S 3/7->B,C,,M/S 2/7->D,,M/S 7/7->A,
1.04205414E10,,M/S 3/7->B,C,,M/S 7/7->A,,M/S 4/7->D,
1.01612442E10,,M/S 3/7->B,C,,M/S 5/7->D,,M/S 7/7->A,
1.12407101E10,,M/S 3/7->B,C,,M/S 7/7->A,,M/S 6/7->D,
1.13382093E10,,M/S 3/7->B,C,,M/S 7/7->A,D,
1.03567565E10,,M/S 3/7->B,,M/S 7/7->A,,M/S 4/7->C,,M/S 1/7->D,
1.09187195E10,,M/S 3/7->B,,M/S 2/7->D,,M/S 7/7->A,,M/S 4/7->C,
1.04325734E10,,M/S 3/7->B,D,,M/S 7/7->A,,M/S 4/7->C,
9.8401321E9,,M/S 3/7->B,,M/S 7/7->A,,M/S 4/7->C,D,
1.00483748E10,,M/S 3/7->B,,M/S 5/7->D,,M/S 7/7->A,,M/S 4/7->C,
1.11278408E10,,M/S 3/7->B,,M/S 7/7->A,,M/S 4/7->C,,M/S 6/7->D,
1.12253399E10,,M/S 3/7->B,,M/S 7/7->A,D,,M/S 4/7->C,
1.01872937E10,,M/S 3/7->B,,M/S 5/7->C,,M/S 7/7->A,,M/S 1/7->D,
1.07492557E10,,M/S 3/7->B,,M/S 5/7->C,,M/S 2/7->D,,M/S 7/7->A,
1.02631107E10,,M/S 3/7->B,D,,M/S 5/7->C,,M/S 7/7->A,
1.01382083E10,,M/S 3/7->B,,M/S 5/7->C,,M/S 7/7->A,,M/S 4/7->D,
